SUPPLIER_NAME,ORG_ID,FY_START_DATE,FY_END_DATE,AWU_MISSING_DATA_FLAGS,AWU_VOLUME_UNIT_FLAG,PWSID_INCOMPLETE_DATA_FLAG,AWU_POTABLE_SF_RES_GAL,AWU_POTABLE_MF_RES_GAL,AWU_POTABLE_TOTAL_RES_GAL,AWU_RECYCL_RES_GAL,AWU_NONPOTABLE_NON_RECYCL_RES_GAL,AWU_NONPOTABLE_RES_IRR_GAL,AWU_NONPOTABLE_TOTAL_RES_GAL,AWU_RES_LAM_EXCLUDED_IRR_GAL,AWU_TOTAL_RES_GAL,AWU_TOTAL_RES_RGPCD,AWU_POTABLE_CII_DIMS_GAL,AWU_NONPOTABLE_CII_DIMS_GAL,AWU_TOTAL_CII_DIMS_GAL,AWU_RWL_TOTAL_GAL,AWU_TOTAL_OBJ_RELEVANT_DEMANDS_GAL,AWU_POTABLE_CI_GAL,AWU_POTABLE_I_GAL,AWU_POTABLE_O_GAL,AWU_NONPOTABLE_NONRES_GAL,AWU_TOTAL_EXCL_DEMANDS_GAL,AWU_POTABLE_COMM_AG_GAL,AWU_NONPOTABLE_COMM_AG_GAL,AWU_SF_RES_90PCTILE_GAL,AWU_MF_RES_90PCTILE_GAL,AWU_COST_OF_SERVICE_HIGHEST_USERS,AWU_COST_OF_SERVICE_ANALYSIS_LINK,AWU_RES_LAM_EXCLUDED_IRR_YN,AWU_RES_LAM_ASSOC_DIM_YN,AWU_RES_LAM_ASSOC_DIM_IRR_GAL,AWU_RES_LAM_SUPPLIER_CII_YN,AWU_RES_LAM_SUPPLIER_CII_GAL,AWU_COMMENTS
Bakersfield  City Of,123,2023-07-01,2024-06-30,,,,9040721583.672,443144508.696,9483866092.368,0.0,0.0,0.0,0.0,,9483866092.368,164.18042950594565,0.0,0.0,0.0,506958361.8155257,9990824454.183523,3250222355.5799994,89015943.84400001,52523723.128,0.0,3391762022.551999,0.0,0.0,9040720955.84357,443144477.9220495,0.0,,No,No,,No,,
Bakman Water Company,124,2023-07-01,2024-06-30,"AWU_SF_RES_90PCTILE_GAL, AWU_MF_RES_90PCTILE_GAL, AWU_RES_LAM_EXCLUDED_IRR_YN, AWU_RES_LAM_ASSOC_DIM_YN, AWU_RES_LAM_SUPPLIER_CII_YN",,,418730832.0,210978524.0,629709356.0,0.0,0.0,0.0,0.0,,629709356.0,99.19111782491619,49835428.0,0.0,49835428.0,0.0,679544784.0,104172930.0,5829142.0,0.0,0.0,110002072.0,0.0,,,,,,,,,,,
Banning  City Of,129,2023-07-01,2024-06-30,,,,1130144741.64888,61895814.87204,1192040556.52092,0.0,0.0,0.0,0.0,0.0,1192040556.52092,106.43889249465437,321164179.45424,0.0,321164179.45424,107833469.88386331,1621038205.8590236,398975568.56868,0.0,118080070.61036004,2087000.0,519142639.17904,0.0,,315532879.2,17739231.4,,,Yes,No,0.0,No,0.0,
Beaumont - Cherry Valley Water District,159,2023-07-01,2024-06-30,"AWU_SF_RES_90PCTILE_GAL, AWU_MF_RES_90PCTILE_GAL, AWU_RES_LAM_EXCLUDED_IRR_YN, AWU_RES_LAM_ASSOC_DIM_YN, AWU_RES_LAM_SUPPLIER_CII_YN",,,2434035282.78,111496436.67,2545531719.45,0.0,0.0,109723807.23000002,109723807.23000002,,2655255526.68,147.7360873222643,409887972.9,238809680.88,648697653.78,0.0,3303953180.46,415391596.29,66225957.24000001,57437755.77,92675282.91,631730592.21,12310650.78,,,,,,,,,,,
Bella Vista Water District,167,2023-07-01,2024-06-30,,,,1460350134.15,39196616.79,1499546750.94,0.0,0.0,0.0,0.0,31048732.0,1468498018.94,216.16603501349846,228506272.26,0.0,228506272.26,160204237.94069958,1857208529.1407,200388589.47,0.0,6517020.0,0.0,206905609.47,372698598.27,,124671404.0,20619368.0,,,Yes,No,,No,,
Bellflower - Somerset Mutual Water Company,170,2023-07-01,2024-06-30,,,,351823785.90388,711690042.6735599,1063513828.57744,0.0,0.0,3183564.27,3183564.27,0.0,1066697392.84744,63.12005638317346,8617138.67388,0.0,8617138.67388,19666576.19488896,1094981107.716209,224428241.08052003,0.0,32585.1,18074332.599760003,242535158.78028,0.0,,142833218.0,297674080.0,,,No,No,0.0,No,0.0,"We have 600 missing parcels We are aware at missing parcels, and are working on distinguishing between new and old builds to provide usage data"
Benicia  City Of,178,2023-07-01,2024-06-30,,,,581125692.3039999,117438927.636,698564619.9399999,0.0,0.0,0.0,0.0,,698564619.9399999,70.54202466066467,119593317.396,320263000.0,439856317.396,109485936.0,1247906873.336,110371332.34,55921375.312,3931761.312,987461000.0,1157685468.964,0.0,,173628853.616,53725094.64,,,No,No,,No,,"(Row 35, 37, and 39) ""No"" entries aim to report that we are currently investigating the nature and scope of identifying these misclassifications provided by the State.  It is expected that future UWUO reports will include volumes of deliveries associated with these misclassifications."
Beverly Hills  City Of,193,2023-07-01,2024-06-30,"AWU_RES_LAM_EXCLUDED_IRR_YN, AWU_RES_LAM_ASSOC_DIM_YN, AWU_RES_LAM_SUPPLIER_CII_YN",,,1332708671.96,558075513.51,1890784185.47,0.0,0.0,0.0,0.0,,1890784185.47,126.79240858437653,39393361.22,0.0,39393361.22,130039965.378,2060217512.068,617077652.6700001,0.0,108419977.54,0.0,725497630.21,0.0,,0.0,0.0,,,,,,,,Will evaluate in FY24/25 if there are any misclassified or uncaptured residential landscapes. Identification of 90th percentile water use for single family and multi family residential is in progress.
Big Bear Community Services District,197,2023-07-01,2024-06-30,,,,232624722.648,0.0,232624722.648,0.0,0.0,0.0,0.0,,232624722.648,50.03360082075636,0.0,0.0,0.0,37165913.358,269790636.006,44564449.848000005,0.0,6934329.8322,0.0,51498779.6802,0.0,,11402000.0,0.0,,,No,No,,No,,
Big Bear Lake  City Of,198,2023-07-01,2024-06-30,,,CA3600395,371200296.7592,45482810.2273,416683106.9865,0.0,0.0,0.0,0.0,0.0,416683106.9865,93.12321995168213,20707816.75,0.0,20707816.75,815520.0,438206443.7365,109234612.92346,0.0,0.0,0.0,109234612.92346,0.0,0.0,5105.0,2.0,,,No,No,,No,,
Blythe  City Of,241,2023-07-01,2024-06-30,,,,393647000.0,120556000.0,514203000.0,0.0,0.0,0.0,0.0,,514203000.0,142.67524229954967,40618000.0,0.0,40618000.0,177605309.18269244,732426309.1826924,118095000.0,2936000.0,1049000.0,0.0,122080000.0,0.0,,0.0,0.0,,,No,No,,No,,"The City has not yet reviewed its residential landscape measurement (LAM). The City has not yet received its CII LAM. The City reported 0.01 MG of Unbilled Metered Water Use in their 2023 CY Water Loss Audit. This water use data was not reported in the SAFER Clearinghouse. The City may modify reported Clearinghouse data to incorporate unmetered water use in the future, although this value is very minor."
Brawley  City Of,262,2023-07-01,2024-06-30,,,,893763530.0,214647000.0,1108410530.0,0.0,0.0,0.0,0.0,,1108410530.0,112.77262247779976,0.0,0.0,0.0,141858361.68505535,1250268891.6850553,187325000.0,338403000.0,0.0,0.0,525728000.0,6291000.0,0.0,214607225.0,46773000.0,,,No,No,,No,,
Brea  City Of,263,2023-07-01,2024-06-30,,,,1095739089.0800002,400762874.584,1496501963.664,0.0,0.0,0.0,0.0,,1496501963.664,86.15447645257034,408388516.67200005,0.0,408388516.67200005,70297139.634,1975187619.97,1423353698.844,0.0,2773776.816,0.0,1426127475.66,0.0,,0.0,0.0,,,No,No,,No,,
Brentwood  City Of,264,2023-07-01,2024-06-30,,,,2246895000.0,130883000.0,2377778000.0,0.0,0.0,0.0,0.0,,2377778000.0,100.97903172961423,433920000.0,0.0,433920000.0,366137007.96898246,3177835007.9689827,230209000.0,0.0,7738000.0,446715000.0,684662000.0,0.0,0.0,601385193.2,57741261.6,0.0,0,No,No,,No,,
Buena Park  City Of,283,2023-07-01,2024-06-30,"AWU_RES_LAM_ASSOC_DIM_YN, AWU_RES_LAM_SUPPLIER_CII_YN",,,1589361000.0,556534000.0,2145895000.0,0.0,0.0,0.0,0.0,0.0,2145895000.0,71.69887538185863,292093000.0,0.0,292093000.0,269593114.7885111,2707581114.788512,986635000.0,0.0,12216000.0,0.0,998851000.0,0.0,,0.0,0.0,,,Yes,,0.0,,0.0,"Work in progress, implimenting new strategies to implement Framework requests."
Burbank  City Of,285,2023-07-01,2024-06-30,,,,1950328221.0498407,1233854495.65836,3184182716.7082005,0.0,0.0,0.0,0.0,,3184182716.7082005,83.4532765576503,0.0,0.0,0.0,166572037.76246363,3350754754.470664,975181173.59104,0.0,2675475.30268,732035454.81912,1709892103.71284,0.0,0.0,563539895.0,628193610.0,0.0,0,No,No,,No,,"(1) The City has not performed a Cost of Service Analysis for its top 10% of water users, but did hire a consultant to evaluate the 90th percentile SFR and MFR customer water users and their associated total volume. (2) The City has not performed a detailed analysis of residential LAM so it unkown if there are landscapes not captured, if there are any landscapes with DIMs that DWR included in the LAM, or if there are any CII landscapes that were misclassified."
Burlingame  City Of,286,2023-07-01,2024-06-30,,,,452862165.5,246880688.0,699742853.5,0.0,0.0,0.0,0.0,,699742853.5,60.96300786145509,49839169.0,0.0,49839169.0,65181000.0,814763022.5,325892678.5,0.0,5402581.0,0.0,331295259.5,0.0,0.0,102190600.0,36673335.0,,,No,No,,No,,
Calaveras County Water District,351,2023-07-01,2024-06-30,"AWU_SF_RES_90PCTILE_GAL, AWU_MF_RES_90PCTILE_GAL",,,1162456723.0,0.0,1162456723.0,0.0,0.0,0.0,0.0,,1162456723.0,113.82462257777081,0.0,0.0,0.0,0.0,1162456723.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No,No,,No,,"Note that the Total Annual Volume of Real Losses includes real losses for two systems (CA0510005   West Point and CA0510017   Copper Cove) that are expected to have water loss standards determined in the future, but they have not yet been defined. Two additional systems (CA0510004   Sheep Ranch and CA0510019   Wallace) have less than 200 connections each and are anticipated to be excluded from water loss standards and thus also excluded from annual water reporting for the urban water use objective. Both actual and efficient real losses have also been included for the two systems with established water loss standards (CA0510016   Ebbetts Pass and CA0510006   Jenny Lind). CCWD's reported level of actual real water loss appears out of compliance with the standard, partially because the standard has not yet been set for two of the four systems expected to have water loss standards."
Calexico  City Of,353,2023-07-01,2024-06-30,,,,1059700000.0,177300000.0,1237000000.0,0.0,0.0,0.0,0.0,,1237000000.0,83.97653680626436,113700000.0,0.0,113700000.0,62103742.3336532,1412803742.3336532,204200000.0,6150000.0,7800000.0,0.0,218150000.0,0.0,,0.0,0.0,,,No,No,,No,,The City has not yet reviewed its residential landscape measurement (LAM). The City has not yet received its CII LAM.
California American Water Company - Los Angeles Division,368,2023-07-01,2024-06-30,,,,2921891421.0,423828419.0,3345719840.0,0.0,0.0,0.0,0.0,,3345719840.0,99.37398473593518,61766940.0,0.0,61766940.0,589370000.0,3996856780.0,671750614.0,39149754.0,213789488.0,0.0,924689856.0,0.0,0.0,977550144.0,209784376.0,,,No,No,,No,,"Lines 35, 37, 39: At time of this reporting we are still in process of identifying any possible LAM discrepancies between residential, CII, and or DIM."
California American Water Company - Monterey District,369,2023-07-01,2024-06-30,,,,1452645500.0,397754000.0,1850399500.0,0.0,0.0,0.0,0.0,,1850399500.0,52.33608976558211,70595000.0,0.0,70595000.0,369810877.8655497,2290805377.8655496,708793900.0,4098000.0,145909100.0,0.0,858801000.0,0.0,0.0,457756399.0000014,282999048.00000006,,,No,No,,No,,"Lines 35, 37, 39: At time of this reporting we are still in process of identifying any possible LAM discrepancies between residential, CII, and or DIM."
California American Water Company - Sacramento District,372,2023-07-01,2024-06-30,,,"CA3410027, CA3410023",5053599524.940001,1274297551.0,6327897075.940001,0.0,0.0,0.0,0.0,,6327897075.940001,80.37526862980866,205101651.0,0.0,205101651.0,355330000.0,6888328726.940001,1130732229.0,146835976.0,614509520.0,0.0,1892077725.0,0.0,0.0,1785645452.0,826690311.0,0.0,0,No,No,,No,,"DWR LAM analysis is still being evaluated for accuracy related to line B35, B36, B37 and B39"
California American Water Company - San Diego District,373,2023-07-01,2024-06-30,,,,1260175000.0,661211000.0,1921386000.0,0.0,0.0,0.0,0.0,,1921386000.0,49.66104936676144,277057000.0,0.0,277057000.0,125510000.0,2323953000.0,142262000.0,0.0,517031000.0,0.0,659293000.0,0.0,0.0,362225038.0,373680872.0,,,No,No,,No,,"Lines 35, 37, 39: At time of this reporting we are still in process of identifying any possible LAM discrepancies between residential, CII, and or DIM."
California American Water Company - Ventura District,376,2023-07-01,2024-06-30,,,,2042658000.0,172203000.0,2214861000.0,0.0,0.0,0.0,0.0,,2214861000.0,88.13781560491405,370385000.0,0.0,370385000.0,280540000.0,2865786000.0,178745000.0,433375000.0,214035000.0,0.0,826155000.0,0.0,0.0,573840157.0,68048640.0,,,No,No,,No,,"Lines 35, 37, 39: At time of this reporting we are still in process of identifying any possible LAM discrepancies between residential, CII, and or DIM."
California City,378,2023-07-01,2024-06-30,,,,399325118.64,14704458.164,414029576.804,0.0,0.0,0.0,0.0,0.0,414029576.804,79.89347849571713,56620803.932,0.0,56620803.932,0.0,470650380.736,88664359.404,747303.9479999999,1643470.2439999997,0.0,91055133.596,0.0,,0.0,0.0,,,No,No,0.0,No,0.0,
California Water Service Company Bakersfield,386,2023-07-01,2024-06-30,,,,9480135384.304,1048576902.8920004,10528712287.196,0.0,0.0,0.0,0.0,0.0,10528712287.196,99.70890801316357,0.0,0.0,0.0,799958520.6412665,11328670807.837269,4678072112.227999,17960298.916,51698896.27600001,0.0,4747731307.419999,0.0,,2512824876.0,550852799.0,,,Yes,No,,No,,We are in the process of assessing our volume of water that was delivered to residential landscapes not captured in the Department's LAM analysis.
California Water Service Company Bear Gulch,387,2023-07-01,2024-06-30,,,,2853534868.292,91103008.92399998,2944637877.216,0.0,0.0,0.0,0.0,0.0,2944637877.216,132.46475598030463,0.0,0.0,0.0,95914314.98086548,3040552192.196865,433125100.208,700924.724,14463585.420000002,0.0,448289610.352,0.0,,1200484105.96875,48276154.75,,,Yes,No,,No,,We are in the process of assessing our volume of water that was delivered to residential landscapes not captured in the Department's LAM analysis.
California Water Service Company Chico District,388,2023-07-01,2024-06-30,,,,3434001526.7839994,883584061.36,4317585588.143999,0.0,0.0,0.0,0.0,0.0,4317585588.143999,104.11936987372081,0.0,0.0,0.0,549940696.5747467,4867526284.718746,1637065422.776,24812136.788000003,7286774.532000001,0.0,1669164334.0960002,0.0,,1048157188.609375,386164354.75,,,Yes,No,,No,,We are in the process of assessing our volume of water that was delivered to residential landscapes not captured in the Department's LAM analysis.
California Water Service Company Dixon,390,2023-07-01,2024-06-30,,,,236833263.2,27335316.184000004,264168579.384,0.0,0.0,0.0,0.0,0.0,264168579.384,68.130427615448,0.0,0.0,0.0,71959189.09905706,336127768.483057,30353706.004000004,59844.16,218431.184,0.0,30631981.348000005,0.0,,59386193.484375,11384573.0,,,Yes,No,,No,,We are in the process of assessing our volume of water that was delivered to residential landscapes not captured in the Department's LAM analysis.
California Water Service Company Dominguez,391,2023-07-01,2024-06-30,,,,2302700045.624,780783763.312,3083483808.936,0.0,0.0,0.0,0.0,0.0,3083483808.936,58.816286387434545,0.0,0.0,0.0,141150665.6883893,3224634474.624389,2721864251.356,2385716612.428,13233787.932000004,1699994302.284,6820808954.0,0.0,,559693254.234375,364423778.0,,,Yes,No,,No,,We are in the process of assessing our volume of water that was delivered to residential landscapes not captured in the Department's LAM analysis.
California Water Service Company East Los Angeles,392,2023-07-01,2024-06-30,,,,1876485449.792,253119851.34400004,2129605301.136,0.0,0.0,0.0,0.0,0.0,2129605301.136,38.33037749795016,0.0,0.0,0.0,192764403.7117169,2322369704.8477173,1579160213.56,271291530.52800006,2166358.592,8830753.860000001,1861448856.54,0.0,,494874721.59375,86893488.3125,,,Yes,No,,No,,We are in the process of assessing our volume of water that was delivered to residential landscapes not captured in the Department's LAM analysis.
California Water Service Company Hermosa/Redondo,396,2023-07-01,2024-06-30,,,,1618258647.444,627825830.612,2246084478.056,0.0,0.0,0.0,0.0,0.0,2246084478.056,63.63130355568323,0.0,0.0,0.0,138829439.10928935,2384913917.165289,526239620.96,149031407.752,1092155.9200000002,11529130026.608,12205493211.24,0.0,,425206580.9140625,265426016.625,,,Yes,No,,No,,We are in the process of assessing our volume of water that was delivered to residential landscapes not captured in the Department's LAM analysis.
California Water Service Company Kern River Valley,397,2023-07-01,2024-06-30,,,CA1510056,144302223.00800002,1254483.204,145556706.212,0.0,0.0,0.0,0.0,0.0,145556706.212,71.77564731303688,0.0,0.0,0.0,55625677.1516039,201182383.36360392,23864354.904000003,0.0,1044280.592,0.0,24908635.496000003,0.0,,48436237.578125,865493.875,,,Yes,No,,No,,We are in the process of assessing our volume of water that was delivered to residential landscapes not captured in the Department's LAM analysis.
California Water Service Company Livermore,401,2023-07-01,2024-06-30,,,,1783638369.6799998,127114305.772,1910752675.452,0.0,0.0,0.0,0.0,0.0,1910752675.452,86.65108810631301,0.0,0.0,0.0,127289126.44305182,2038041801.895052,588806903.772,0.0,4941825.108000001,0.0,593748728.88,0.0,,473627857.625,52017153.5,,,Yes,No,,No,,We are in the process of assessing our volume of water that was delivered to residential landscapes not captured in the Department's LAM analysis.
California Water Service Company Los Altos/Suburban,402,2023-07-01,2024-06-30,,,,2145833541.224,193848699.17600003,2339682240.4,0.0,0.0,0.0,0.0,0.0,2339682240.4,91.34432960260797,0.0,0.0,0.0,114468970.47147302,2454151210.8714733,806022289.74,1002389.68,969475.392,49066974.836,857061129.6479999,0.0,,619708556.875,85654716.75,,,Yes,No,,No,,We are in the process of assessing our volume of water that was delivered to residential landscapes not captured in the Department's LAM analysis.
California Water Service Company Marysville,405,2023-07-01,2024-06-30,,,,251669378.51600003,86144920.26799999,337814298.78400004,0.0,0.0,0.0,0.0,0.0,337814298.78400004,74.72899691606618,0.0,0.0,0.0,7396663.619642481,345210962.40364254,194887743.404,386742.8839999999,1895563.768,0.0,197170050.056,0.0,,66672948.4375,36064238.75,,,Yes,No,,No,,We are in the process of assessing our volume of water that was delivered to residential landscapes not captured in the Department's LAM analysis.
California Water Service Company Mid Peninsula,420,2023-07-01,2024-06-30,,,,2193787414.684,648715182.712,2842502597.396,0.0,0.0,0.0,0.0,0.0,2842502597.396,56.385055670813934,0.0,0.0,0.0,276378334.9517806,3118880932.3477807,1014108662.632,11022546.220000004,35729207.67600001,0.0,1060860416.528,0.0,,558281683.9921875,255543604.375,,,Yes,No,,No,,We are in the process of assessing our volume of water that was delivered to residential landscapes not captured in the Department's LAM analysis.
California Water Service Company Oroville,412,2023-07-01,2024-06-30,,,,215016326.62,47896273.456,262912600.076,0.0,0.0,0.0,0.0,0.0,262912600.076,65.21579840279801,0.0,0.0,0.0,12586645.118148206,275499245.1941482,286362534.172,201821437.392,3093943.072,0.0,491277914.636,0.0,,65455122.78125,32595530.6875,,,Yes,No,,No,,We are in the process of assessing our volume of water that was delivered to residential landscapes not captured in the Department's LAM analysis.
California Water Service Company Palos Verdes,413,2023-07-01,2024-06-30,,,,3282293588.976,186141519.42,3468435108.396,0.0,0.0,0.0,0.0,0.0,3468435108.396,133.45919975296982,0.0,0.0,0.0,103369350.2929458,3571804458.688946,783156584.2559999,0.0,1474410.492,0.0,784630994.7479999,0.0,,1020480084.40625,78178704.75,,,Yes,No,,No,,We are in the process of assessing our volume of water that was delivered to residential landscapes not captured in the Department's LAM analysis.
California Water Service Company Salinas District,417,2023-07-01,2024-06-30,,,,2085832290.184001,466435623.404,2552267913.588001,0.0,0.0,0.0,0.0,0.0,2552267913.588001,56.28775180915693,0.0,0.0,0.0,273817165.1582564,2826085078.7462573,1665663386.3359995,515049061.448,8498720.844,0.0,2189211168.628,0.0,,542960871.75,227226920.75,,,Yes,No,,No,,We are in the process of assessing our volume of water that was delivered to residential landscapes not captured in the Department's LAM analysis.
California Water Service Company Selma,421,2023-07-01,2024-06-30,,,,785828626.0,104592630.64,890421256.64,0.0,0.0,0.0,0.0,0.0,890421256.64,92.21009571229148,0.0,0.0,0.0,1997059.710080513,892418316.3500805,226053085.828,11954619.012,3628052.2,0.0,241635757.04,0.0,,190467743.03125,56708174.5,,,Yes,No,,No,,
California Water Service Company South San Francisco,422,2023-07-01,2024-06-30,,,,745345547.8640001,140763188.996,886108736.8600001,0.0,0.0,0.0,0.0,0.0,886108736.8600001,37.86115577547843,0.0,0.0,0.0,3870534.689363856,889979271.549364,1021816590.44,101786687.588,8680395.408000002,0.0,1132283673.436,0.0,,190146829.453125,60161921.625,,,Yes,No,,No,,We are in the process of assessing our volume of water that was delivered to residential landscapes not captured in the Department's LAM analysis.
California Water Service Company Stockton,424,2023-07-01,2024-06-30,,,,3450485129.304,450154896.032,3900640025.336,0.0,0.0,0.0,0.0,0.0,3900640025.336,61.0577000041168,0.0,0.0,0.0,633299677.1005754,4533939702.436575,2141619411.7,469322530.064,40623699.54800001,0.0,2651565641.312,0.0,,916374715.171875,219704529.0,,,Yes,No,,No,,We are in the process of assessing our volume of water that was delivered to residential landscapes not captured in the Department's LAM analysis.
